item,description,primary_machine,scorable_units_2026,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,FY2026_eff_pct
45050L,ORG Turkey Tail Astragalus 10-Ct Tea Bag - G,Assembly,1096,,,28.6,,,,,28.6
31008L,ORG Instant French Roast Latte 224g Bag,AMS,1079,49.1,,115.6,,,,,74.1
10202,ORG Peppermint 1 Lb Bag,AMS,1062,20.1,,22.3,,,26.3,,22.8
45030L,ORG Lion's Mane Rhodiola 10-Ct Tea Bag - G,Maisa 2+3,1052,206.1,,202.3,,,,,203.6
10045,AMZN- WWB-ORG Rooibos - 1 Lb Bag,AMS,1050,,,48.3,,,,8.1,15.5
TGB204,ORG Snickerdoodle Tea Bag Goody Bag - GA,Assembly,1050,,27.5,,,15.7,,,26.5
42040,ORG Snickerdoodle 10ct/6pk Tea Bag - GA,Maisa 1,1020,147.2,89.1,130.6,,,,,108.1
83010L,ORG Dandelion Vanilla Nut 10 Oz Bag/Box of 24 - A,WeighRight,1013,,,88.3,,79.7,,,84.0
10017,ORG Lemon Balm (+8) 1LB Bag - 7-9523910017,AMS,1008,18.6,32.6,,,,,,31.3
40030L,ORG Almond Amaretto 10ct Tea Bag Individual Unit- GA,Assembly,1008,,23.4,125.9,,,,,55.9
40060A,AMZN Org Hazelnut 10 Ct Tea Bag Loose - GA,Maisa 1,1008,,102.6,,,,,,102.6
80130A,AMZN Org Maca Chocolate 11OZ Bag/Box of 24 - G,WeighRight,1008,115.2,,,99.9,,,,107.4
85020,ORG Chaga Ashwagandha 10 Oz Bag/6 Count Case,WeighRight,1006,,143.6,74.5,90.5,,87.6,,93.3
40097,Teecino Tea Bag 12 Flavor Sampler,Assembly,990,78.6,,112.1,89.2,50.3,,,88.2
31010L,ORG Instant Hazelnut Latte 224g Bag,AMS,967,31.9,,118.4,72.4,,,,52.9
86010,ORG Dark Chocolate 10 Oz Bag/6 Count Case,WeighRight,967,199.8,121.3,131.8,124.9,,105.9,92.4,115.5
TGB311,ORG Dandelion Dark Roast Tea Bag Goody Bag,Assembly,950,,43.1,10.3,17.5,22.0,,,18.7
48004,WWB ORG French Chicory 25ct Tea Bag,Maisa 1,931,,94.5,83.7,,,,,87.9
