item,description,primary_machine,scorable_units,2025-01,2025-02,2025-03,2025-04,2025-05,2025-06,2025-07,2025-08,2025-09,2025-10,2025-11,2025-12,2026-01,2026-02,2026-03,2026-04,2026-05,2026-06,2026-07,eff_pct
40060,ORG Hazelnut 10ct/6pk Tea Bag - GA,Maisa 1,8485,110.5,,123.9,,97.2,,128.1,,125.7,,71.2,66.1,117.0,95.7,122.6,111.5,65.5,,,100.9
40011A,ORG 25 CT Vanilla Nut AMZN - GA,Maisa 2+3,8304,,119.4,84.8,104.5,,110.7,,,73.3,73.2,69.6,93.2,71.2,,123.2,,,,,85.1
43311,Dandelion Mocha Mint 25 Count Tea Bag - A,Maisa 1,8113,106.9,75.5,61.0,,73.2,,55.8,49.1,46.4,63.8,,65.2,96.7,,,72.8,,,,69.3
40031,ORG Almond Amaretto 25CT Tea Bag - GA,Maisa 2+3,8058,105.3,,64.8,,,,146.4,,126.8,,,95.8,,81.5,114.5,167.7,,,,106.2
80060A,AMZN Org Hazelnut 11OZ Bag/Box of 24 - GA,WeighRight,7887,,5.0,,,88.1,,,80.8,111.4,101.0,,,128.3,,,89.2,,185.7,,89.5
80030L,ORG Almond Amaretto 11OZ Bag/Box of 24 - GA,WeighRight,7771,103.3,,,77.3,112.2,,,116.0,,,,65.1,121.1,,,84.6,,47.2,122.1,89.7
10071,AMZN - WWB - ORG Roasted Barley - 1 Lb - G,AMS,7721,,,,,131.2,,117.2,,,182.0,137.0,,171.0,56.9,91.3,,,,,97.6
10005A,WWB AMZN Organic Chia (1lb),AMS,7696,51.7,,,,,,,,,,,,31.6,44.1,68.7,,69.6,,,51.5
43341,Dandelion Coconut 25 Count Tea Bag - A,Maisa 1,7656,125.2,,,89.5,,65.7,,41.6,142.4,,134.0,74.6,95.7,102.2,105.7,100.2,,,,96.3
80070L,Org Java 11OZ Bag/Box of 24 - GA,WeighRight,7650,120.5,,,127.1,90.8,105.3,109.9,,,,,,,64.1,163.4,,,,238.2,113.9
43220L,Org Dandelion Caramel Nut 10 Ct Tea Bag Loose - A,Maisa 2+3,7521,35.2,123.7,98.3,,,,155.5,,173.6,,,191.8,,37.8,90.6,479.6,,,,95.5
40130,ORG Maca Chocolate 10ct/6pk Tea Bag - G,Maisa 2+3,7378,133.2,115.0,,,106.3,,81.4,,95.2,,109.5,76.1,89.6,110.4,,36.9,99.5,,,102.8
