date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2025-01-21,2025-01,Maisa 1,,48004,WWB ORG French Chicory 25ct Tea Bag,Tea,inferred,,yes,3.0,96,2.15,6.45,44.7,0.744,14.9,
2025-01-21,2025-01,Maisa 1,,CleanGA,Clean + Gluten + Almond Tests,Tea,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-21,2025-01,Maisa 1,,TB331,ORG Dandelion Mocha Mint Tea Bag - A,Tea,inferred,,yes,3.0,5280,1.18,3.54,4474.6,74.576,1491.5,
2025-01-21,2025-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,3.0,745,9.56,28.68,77.9,1.299,26.0,
2025-01-21,2025-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,2.0,0,0.4,0.8,,,,
2025-01-21,2025-01,Maisa 2+3,,NTB0060,Hazelnut Tagless 6g Tea Bag - GA,Tea,inferred,,yes,2.0,13200,2.53,5.06,5217.4,86.957,2608.7,
2025-01-21,2025-01,Maisa 2+3,,TB010,ORG Vanilla Nut Tea Bag Loose - GA,Tea,inferred,,yes,2.0,21500,4.26,8.52,5046.9,84.116,2523.5,
2025-01-21,2025-01,Maisa 2+3,,TB060,ORG Hazelnut Tea Bag Loose - GA,Tea,inferred,,yes,2.0,9000,1.57,3.14,5732.5,95.541,2866.2,
2025-01-21,2025-01,WeighRight,,56010,Dark Chocolate 30g Trial Size Packet,Bag/Other,inferred,,yes,3.0,1080,2.38,7.14,453.8,7.563,151.3,
2025-01-21,2025-01,WeighRight,,66010,ORG Dark Chocolate 5 Lb Bag,Bag/Other,inferred,,yes,3.0,12,0.24,0.72,50.0,0.833,16.7,
2025-01-21,2025-01,WeighRight,,86010,ORG Dark Chocolate 10 Oz Bag/6 Count Case,Bag/Other,inferred,,yes,3.0,230,4.11,12.33,56.0,0.933,18.7,
2025-01-21,2025-01,WeighRight,,86010L,ORG Dark Chocolate 10 Oz Bag/Box of 24,Bag/Other,inferred,,yes,3.0,304,1.1,3.3,276.4,4.606,92.1,
2025-01-21,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.38,1.14,,,,
2025-01-21,2025-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.4,1.2,,,,
2025-01-22,2025-01,Assembly,,53098,Dandelion Packet Sampler Pack,Sampler,inferred,,,,162,,,,,,
2025-01-22,2025-01,Maisa 1,,45030F,Lion's Mane Rhodiola Dual Language 10 cnt TB - G,Tea,inferred,,yes,3.0,50,0.49,1.47,102.0,1.701,34.0,
2025-01-22,2025-01,Maisa 1,,45031,ORG Lion's Mane Rhodiola 25 Ct Tea Bag - G,Tea,inferred,,yes,3.0,240,1.21,3.63,198.3,3.306,66.1,
2025-01-22,2025-01,Maisa 1,,48002,WWB ORG Roasted Barley 25ct Tea Bag - G,Tea,inferred,,yes,3.0,288,2.1,6.3,137.1,2.286,45.7,
2025-01-22,2025-01,Maisa 1,,48004,WWB ORG French Chicory 25ct Tea Bag,Tea,inferred,,yes,3.0,504,3.25,9.75,155.1,2.585,51.7,
2025-01-22,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,1.09,3.27,,,,
2025-01-22,2025-01,Maisa 1,,Clean,Standard Clean,Tea,inferred,,,3.0,0,0.45,1.35,,,,
2025-01-22,2025-01,Maisa 2+3,,43110,ORG Dandelion Dark Roast 10ct/6pk Tea Bag,Tea,inferred,,yes,3.0,88,1.3,3.9,67.7,1.128,22.6,
2025-01-22,2025-01,Maisa 2+3,,45050,ORG Turkey Tail Astragalus 10 Ct Tea Bag/6 Count Case - G,Tea,inferred,,yes,5.0,583,3.45,17.25,169.0,2.816,33.8,
