item,description,primary_machine,runs,scorable_runs,units_made,scorable_units,machine_hrs,direct_labor_hrs,direct_labor_usd,expected_hrs,actual_hrs_scorable,efficiency_pct,standard_looks_suspect,overrun_hrs,overrun_usd,actual_units_per_operator_hr,standard_units_per_operator_hr,actual_units_per_machine_hr
42081A,DO NOT MAKE AMZN ORG Irish Cream 25CT Tea Bag - G,Assembly,1,1,72,72,0.2,0.2,5.21,1.2,0.2,618.1,,-1.0,-27.0,360.0,58.24,360.0
49011,25 Count Variety Pack (CM/CH/PDC),Assembly,6,6,372,372,24.5,24.5,637.95,25.5,24.5,104.4,,-1.1,-27.86,15.2,14.56,15.2
40010A,AMZN Org Vanilla Nut 10 Ct Tea Bag Loose - GA,Maisa 1,4,4,1332,1332,2.4,8.1,210.04,9.2,8.1,113.5,,-1.1,-28.43,165.26,145.56,550.41
45053,DO NOT MAKE ORG Turkey Tail Astragalus 25CT Tea Bag 3PK - G,Maisa 1,2,2,180,180,3.5,8.1,211.87,9.3,8.1,114.0,,-1.1,-29.76,22.14,19.41,52.17
45061,ORG Tremella Tulsi 25 Ct Tea Bag,Maisa 1,2,2,216,216,0.9,2.5,66.45,3.7,2.5,145.4,,-1.2,-30.2,84.71,58.24,254.12
83360L,ORG Holiday Egg Nog 10oz Bag/Box of 24,WeighRight,2,2,462,462,0.7,2.0,51.6,3.2,2.0,160.3,,-1.2,-31.11,233.33,145.56,700.0
85020L,ORG Chaga Ashwagandha 10 Oz Bag/Box of 24,WeighRight,13,12,12626,12626,29.2,85.5,2227.61,86.7,85.5,101.5,,-1.3,-32.85,147.71,145.56,432.4
80089L,ORG Raspberry Mocha 11OZ Bag/Box of 24 - GA,WeighRight,1,1,840,840,1.5,4.5,117.27,5.8,4.5,128.2,,-1.3,-33.12,186.67,145.56,560.0
TB080,ORG Mocha Tea Bag - GA,Maisa 1,3,3,15500,15500,3.1,9.4,244.7,10.7,9.4,113.9,,-1.3,-34.01,1650.69,1449.28,4952.08
86013,DO NOT MAKE ORG Dark Chocolate 10OZ Bag 3PK ,WeighRight,3,3,240,240,1.2,3.6,94.6,4.9,3.6,136.2,,-1.3,-34.24,66.12,48.54,198.35
83320L,ORG Dandelion Red Chai 10 Oz Bag/Box of 24,WeighRight,3,3,795,795,1.4,4.1,107.89,5.5,4.1,131.9,,-1.3,-34.44,192.03,145.56,576.09
83310A,AMZN Org Dandelion Mocha Mint 10OZ Bag/Box of 24 - A,Assembly,1,1,240,240,0.1,0.3,7.82,1.6,0.3,549.6,,-1.3,-35.15,800.0,145.56,2400.0
52020,Caramel Nut 30g Trial Size Packet - GA,WeighRight,1,1,1080,1080,2.0,6.0,157.14,7.4,6.0,123.0,,-1.4,-36.21,179.1,145.56,537.31
