date,month,machine,ams_mode,item,description,category,category_source,style_confidence,is_production_run,operators,units_packs,machine_hrs,operator_hrs,units_per_machine_hr,units_per_machine_min,units_per_operator_hr,data_flag
2026-01-07,2026-01,WeighRight,,80110L,Org French Roast 11oz Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,240,1.383,4.15,173.5,2.892,57.8,
2026-01-07,2026-01,WeighRight,,80116A,French Roast 500g APG Bag - G,APG,inferred,,yes,3.0,552,1.2,3.6,460.0,7.667,153.3,
2026-01-07,2026-01,WeighRight,,help handpack instants,,Bag/Other,inferred,,,3.0,0,11.833,35.5,,,,
2026-01-08,2026-01,AMS,machine(Amy),10005A,WWB AMZN Organic Chia (1lb),Bag/Other,inferred,,yes,5.0,1008,7.067,35.333,142.6,2.377,28.5,
2026-01-08,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,276,4.317,12.95,63.9,1.066,21.3,
2026-01-08,2026-01,Assembly,,40081,ORG Mocha 25CT Tea Bag - GA,Tea,governed,high,yes,2.0,40,1.867,3.733,21.4,0.357,10.7,
2026-01-08,2026-01,Assembly,,55092,Mushroom 6 Packet Sampler,Sampler,governed,high,yes,1.0,240,5.5,5.5,43.6,0.727,43.6,
2026-01-08,2026-01,Maisa 1,,40111,ORG French Roast 25CT Tea Bag - G,Tea,governed,high,yes,3.0,456,3.717,11.15,122.7,2.045,40.9,
2026-01-08,2026-01,Maisa 1,,43310,ORG Dandelion Mocha Mint 10CT Tea Bag - A,Tea,inferred,,yes,3.0,2070,6.533,19.6,316.8,5.281,105.6,
2026-01-08,2026-01,Maisa 1,,CleanG,Clean + Gluten Test,Tea,inferred,,,3.0,0,1.483,4.45,,,,
2026-01-08,2026-01,Maisa 2+3,,45020,ORG Chaga Ashwagandha 10 Ct Tea Bag/6 Count Case,Tea,inferred,,yes,5.0,3324,6.583,32.917,504.9,8.415,101.0,
2026-01-08,2026-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.85,4.25,,,,
2026-01-08,2026-01,Maisa 2+3,,Clean,Standard Clean,Tea,inferred,,,5.0,0,0.5,2.5,,,,
2026-01-08,2026-01,Maisa 2+3,,NTB3110,Dandelion Dark Roast Tagless 6g Tea Bag,Tea bag (intermediate),item-code,,yes,2.0,15804,3.017,6.033,5238.9,87.315,2619.4,
2026-01-08,2026-01,Maisa 2+3,,TB311,ORG Dandelion Dark Roast Tea Bag,Tea bag (intermediate),item-code,,yes,2.0,7500,1.767,3.533,4245.3,70.755,2122.6,
2026-01-08,2026-01,Maisa 2+3,,TB502,ORG Chaga Ashwagandha Loose Tea Bag,Tea bag (intermediate),item-code,,yes,4.0,8500,2.317,9.267,3669.1,61.151,917.3,
2026-01-08,2026-01,WeighRight,,10051,ORG Roasted Chicory Root - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,468,1.35,4.05,346.7,5.778,115.6,
2026-01-08,2026-01,WeighRight,,10059A,AMZN ORG French Chicory 2 X 1 Lb Bag,Bag/Other,inferred,,yes,3.0,576,2.567,7.7,224.4,3.74,74.8,
2026-01-08,2026-01,WeighRight,,60110,ORG French Roast 5 Lb Bag - G,Bag/Other,inferred,,yes,3.0,80,0.683,2.05,117.1,1.951,39.0,
2026-01-08,2026-01,WeighRight,,80110L,Org French Roast 11oz Bag/Box of 24 - G,Bag/Other,inferred,,yes,3.0,1560,2.667,8.0,585.0,9.75,195.0,
2026-01-08,2026-01,WeighRight,,85030L,ORG Lion's Mane Rhodiola 10 Oz Bag/Box of 24 - G,APG,governed,high,yes,3.0,1192,3.0,9.0,397.3,6.622,132.4,
2026-01-08,2026-01,WeighRight,,Clean,Standard Clean,Bag/Other,inferred,,,3.0,0,0.483,1.45,,,,
2026-01-08,2026-01,WeighRight,,CleanG,Clean + Gluten Test,Bag/Other,inferred,,,3.0,0,1.083,3.25,,,,
2026-01-12,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,888,11.683,35.05,76.0,1.267,25.3,
2026-01-12,2026-01,AMS,handpack,10101,WWB - ORG Medium Roasted Carob Flour - 1 Lb Bag,Bag/Other,inferred,,yes,3.0,756,12.2,36.6,62.0,1.033,20.7,
